1332458,City centre Historic house up to 18 Guests,7169837,Nicole,Dublin City,53.35362,-6.27086,Entire home/apt,399,2,229,18/03/2020,2.69,1
1341478,Lovely old world Dublin Central,408378,Eddie,Dublin City,53.35415,-6.29679,Private room,85,3,106,24/09/2019,1.69,1
1407832,Beautifully Renovated Dublin House,5818278,Therese,Dn Laoghaire-Rathdown,53.29831,-6.17206,Entire home/apt,160,2,53,31/12/2019,0.63,1
1411019,City Centre Double Room in Penthouse Apartment,765874,Sam,Dublin City,53.3475,-6.26732,Private room,55,2,222,20/07/2020,4.19,1
1447994,Stunning Bedroom in Great Location ,2401732,Maximilian,Dublin City,53.33822,-6.23277,Private room,75,3,3,14/02/2015,0.04,1
1466234,Single room with breakfast,5940448,Elva,Dublin City,53.32728,-6.30415,Private room,30,4,121,14/03/2020,1.43,1
1488124,Modern Double Room Ensuite - Heart of Dublin City°,5605429,Eddy,Dublin City,53.35316,-6.25078,Private room,68,2,119,28/10/2018,1.41,4
1520036,Contemporary Apartment  Dublin City,6973475,Brendan,Dublin City,53.34503,-6.28061,Entire home/apt,210,3,50,20/09/2019,0.6,1
1541581,Townhouse beside UCD in quiet location,8217034,Donal,Dn Laoghaire-Rathdown,53.3021,-6.22232,Entire home/apt,175,2,31,09/06/2020,0.39,1
1550394,Historic and original whole Apartment.,8257965,Luke,Dublin City,53.34435,-6.26567,Entire home/apt,179,5,255,15/03/2020,3.03,1
1551644,Apartment with amazing panoramic views over Dublin,1582772,Myriam,South Dublin,53.25599,-6.31983,Entire home/apt,130,1,19,13/08/2019,0.46,1
1556554,Beautiful Victorian home.,1271983,Rachel & Justin,Dublin City,53.33495,-6.28341,Entire home/apt,245,4,13,05/11/2017,0.27,4
1559929,Stephen's Green 1838 Villa - single,3745350,Natasha,Dublin City,53.33571,-6.26707,Private room,65,2,53,15/03/2020,0.65,2
1582908,Bright and warm home from home.,8427433,Paula,Dublin City,53.32737,-6.31253,Private room,43,3,63,23/11/2019,0.84,1
1596451,2 Double Rooms 1 Kids room Dublin,6219661,Sonya,Dublin City,53.36147,-6.24422,Entire home/apt,500,2,19,30/05/2016,0.23,1
1600779,Stephen's Green 1838 Villa - double,3745350,Natasha,Dublin City,53.33534,-6.26715,Private room,85,2,70,09/02/2020,0.89,2
1612700,Private Double/Twin Room (w.shower),8585358,Margaret,Dublin City,53.36788,-6.27021,Private room,95,2,7,06/10/2019,0.12,3
1614285,Double Room en-suite /Town House,8585358,Margaret,Dublin City,53.36781,-6.27023,Private room,82,2,6,16/03/2020,0.09,3
1672292,Dub apt near airport M50 DCU City,8852821,Joe,Fingal,53.40958,-6.24793,Private room,50,7,51,16/08/2016,0.62,1
1717912,St Patricks Cathedral View,5429761,Bob,Dublin City,53.33822,-6.27071,Private room,55,2,309,01/03/2020,4.89,4
1722973,Bright Double Room  in Dundrum,9082642,Nadia,Dn Laoghaire-Rathdown,53.28625,-6.23917,Private room,75,2,15,30/09/2019,0.34,2
1735698,Merrion Mews,8886946,Irish Landmark Trust,Dublin City,53.33752,-6.25081,Entire home/apt,442,2,49,25/10/2019,0.6,1
1744402,the main attraction,9182622,Eamonn,Fingal,53.49383,-6.11248,Private room,50,1,85,12/03/2020,1.37,1
1754515,Super Central City Centre Loft,8296520,James,Dublin City,53.34627,-6.26689,Entire home/apt,84,1,502,28/02/2020,6.12,1
1768437,SEASIDE TOWN NEAR DUBLIN CITY IRELAND x,9291133,Lia,Dn Laoghaire-Rathdown,53.2759,-6.13858,Private room,35,1,70,20/03/2020,0.9,1
